"id","text","irony","sarcasm","topic"
"800106568947736576","Visita di Bergoglio a Milano: incontrerà islamici, immigrati e rom, se ha tempo i cattolici italiani | Riscatto... https://t.co/9P3JB4ePST","1","0","HSC"
"561984988007370752","Visita alle Ardeatine, discorso di otto parole, messa all'alba e selfie con le suore. Al confronto Napolitano era Balotelli. [@fdecollibus]","1","1","TW-SPINO"
"462655703736647681","Violenze e spari a Roma prima della finale di Coppa Italia. Bello che si stia valorizzando anche questo trofeo. [@MisterDonnie13]","1","0","TW-SPINO"
"809134936116563968","Vieni dall'estero in Italia e da 20anni vivi in mezzo alla merda di un campo nomadi  Lasci la cacca per andare nella merda #chilhavisto","1","1","HSC"
"165455668776665088","Videoforum con Mario Monti Video Repubblica la Repubblica.it http://t.co/mjwS2c2v via @repubblicait","0","0","TW-SENTIPOLC"
"834927790457749504","Video…Roma, intervista choc a imam: “Roma è già musulmana. L’Islam moderato non esiste” https://t.co/iHSKmUOw7h via @FCoglioni","0","0","HSC"
"787397683698929664","VIDEO. 117 migranti sbarcati a Pozzallo, C’è anche la mamma del bambino annegato. Fermato lo scafista https://t.co/eZuBvWpfjG","0","0","HSC"
"142249749687451648","Video: Il mio commento sul governo Monti.... http://t.co/BbSvgXo5","0","0","TW-SENTIPOLC"
"835783434253520896","Vicenda #Lidl, dai giudizi della gente qui su Twitter sembra che i rom siano tutte brave persone. Mi sento decisamente sollevato.","1","1","HSC"
"853659371653529600","Via crucis e pasqua blindati terrorista apiede libero d'Italia e sbarchi aflotte continuano ..avanti invasion  ci faran sterminar tutti","0","0","HSC"
"852076513906147328","VIA ALLE INDAGINI|Esplosioni a Dortmund\nIndagini della Polizia\nSi valuta pista islamista\nFerito anche un agente… https://t.co/pPcADFdnPf","0","0","HSC"
"842024077707624449","via @emerglive “Tracing Bus” della Croce Rossa: la cabina telefonica itinerante per i migranti https://t.co/wEO87nlcXi","0","0","HSC"
"810961324075261957","Vi vogliamo bene. Il tricolore della mia amata Patria Italia sarà in lutto per voi fratelli tedeschi #noterrorismo #aleppo","0","0","HSC"
"136778269583351808","Vi siete sciroppati di buon grado un Governo di pulcinella e ballerine e ora fate le pulci al Governo Monti?! Ma ripijateve! #rimontiamo","1","0","TW-SENTIPOLC"
"192544122769391616","Vi prego, qualcuno fermi #Grillo! L'Italia non sarà mai un paese normale in cui i #Grillo e i #Berlusconi vengono cacciati a calci nel culo?","0","0","TW-SENTIPOLC"
"135465235623587843","Vi immaginate se stanotte a Mario Monti gli prende un coccolone ma a non muore, si riduce come Bossi? #aeiouy #capodannoitaliano","1","0","TW-SENTIPOLC"
"521224155518468100","Ventura: La buona scuola, per il PSI scuola del Veneto rischia di essere un’epica guerra tra poveri http://t.co/EcW6RAeyOX","0","0","TW-BS"
"817053433199034368","Ventimiglia: migrante muore dopo esser stato investito, Galluccio (FdI-An) ""Dobbiamo aspettare altri morti o ch... https://t.co/nMabHalHdD","0","0","HSC"
"528488944661704704","Venite a Roma il 10 novembre alla #palestrainnovazione di @fmddigitale con @MiurSocial per #labuonascuola","0","0","TW-BS"
"474128662695256064","Venezia, Pd sotto inchiesta per i finanziamenti alle dighe. Ancora una volta è una lettera a distinguerli dal Pdl. [@blogstark]","1","0","TW-SPINO"
"521644410921299968","Venerdì sera sarò relatore all'iniziativa su riforma scuola del Pd Reggello. Partiremo da qui #labuonascuola http://t.co/8uwxGaKE8L","0","0","TW-BS"
"506394687830507520","Venditore da record riesce a piazzare 1.266 Folletto in un anno. E la Mogherini in Europa. [@montales1]","1","0","TW-SPINO"
"834472802950533132","Vedo già Salvini, e tutti i gruppi ""No Immigrati"", sfregarsi le mani all'idea di mandare tutti i migranti sui pianeti di TRAPPIST-1.","1","0","HSC"
"134403213712560128","Vedo che la gente sta accogliendo Mario Monti come fosse il Messia. Chissà se sarà lo stesso quando toccherà pesantemente i loro portafogli!","1","1","TW-SENTIPOLC"
"717385393268789248","Vedo che c'è molta disinformazione sul referendum del 17 maggio. [@MisterDonnie13]","1","0","TW-SPINO"
"852136639598145536","Vedi? Il fatto è islamico!   Non li avete integrati bene. Volevano il biglietto della partita aggratis.   😱🤦‍♂️    #dortmund #tagadala7","1","1","HSC"
"849173688821977088","vedete bene a cosa è servito importare forzatamente immigrati stranieri a farci diventare tutti schiavi https://t.co/jC87ZJHBRi","0","0","HSC"
"824634347215093760","Vedere gli stati contro i rom e poi stati sulla giornata della memoria, davvero mi fate venire la pelle d'oca, fenomeni.","1","1","HSC"
"825094933698768897","Ve lo dico adesso. Meglio morta che califfata. #islam #musulmani https://t.co/hcbpOCM83g","0","0","HSC"
"661555841653481472","Vaticano, un monsignore e una donna in manette. Non si erano accordati sui ruoli. [acid rain]","1","0","TW-SPINO"
"847404622222303235","Vaticano contro Trump, appello alla chiesa Usa: ""Azione di lobby per far cambiare politica immigrazione""… https://t.co/ug2GrMJakN","0","0","HSC"
"507283559439413248","Vai Mattè, che dopo aver fatto #labuonascuola ti ci rimandiamo anche a te! @matteorenzi http://t.co/9o6tbYvsRg","1","1","TW-BS"
"145892553462517760","Vado in bagno. Evacuo il PDL e il Governo Monti che è in me.","1","0","TW-SENTIPOLC"
"848646425147834368","Vabe dai, non ti preoccupare passa tutto. Consiglio acqua e zucchero, forse è una carenza di energia #rom #LeIene https://t.co/3JDWbtPMZ4","0","0","HSC"
"137522888847798272","Vabbè dopo le dichiarazioni di voto si può dire che da oggi il governo Monti è ufficialmente nato. Buon lavoro a tutti!","0","0","TW-SENTIPOLC"
"195592731416989696","Va bene, sosteniamo #Grillo che soffia sul fuoco. Sosteniamo chi si è fatto conoscere mandando a fanculo la gente. #serviziopubblico","0","0","TW-SENTIPOLC"
"507241858951835648","Va bene #labuonascuola, ma noi attuali studenti di #sfplm85bis non potremo diventare maestri prima del 2020..! :-( @Stegiannini @matteorenzi","0","0","TW-BS"
"812993633066557440","update della giornata: i testimoni di geova sono ebrei, ma ogni tanto anche musulmani","1","0","HSC"
"530474834191732737","Uova contro Renzi. Ora sono in camicia. [@MisterDonnie13]","1","0","TW-SPINO"
"136050417246277632","Uno a caso: Mario Monti. Le larghe imprese di Mario Monti http://t.co/xHL9WLLc","1","0","TW-SENTIPOLC"
"688691992105218048","Unioni civili, Pd diviso tra il ""No"" e il ""Sia chiaro che ho un sacco di amici gay"". [guli1979]","1","1","TW-SPINO"
"850618322072764416","Unica soluzione è cacciare TUTTI i musulmani NON integrati fino alla 3a gen che si ammazzassero nei loro paesi come fanno da secoli MALATI!","0","0","HSC"
"834360663388598272","Unar, dopo lo scandalo a rischio i progetti: anche la casa-accoglienza per profughi transessuali di Bologna - Il... https://t.co/b5wtbXJqiK","0","0","HSC"
"520497831803912192","Una volta lo sciopero scolastico era al sabato, da quando c'è la settimana corta anche a scuola, si anticipa tutto al venerdì #labuonascuola","1","0","TW-BS"
"847545450559401986","Una società senza figli non ha futuro e alla ""islamizzazione"" dell'Europa non mi arrendo!#primagliitaliani. &gt; https://t.co/G7ZLIas1XP …","0","0","HSC"
"802094496133615616","Una nuova invasione di migranti in Europa, la minaccia fa tremare anche l'Italia https://t.co/smZv5K7T0O","0","0","HSC"
"526940973973385216","Una nuova alba, idonei 2012 in campo, si' alla buona scuola@matteorenzi @FusacchiA @SteGiannini #idoneiconcorsone2012 #pantarei","0","0","TW-BS"
"163673457291296769","Una email a Mario Monti http://t.co/sXkF1csh #voiceovernet #governo #mariomonti #opengovernment #wikicrazia","0","0","TW-SENTIPOLC"
"837307255439654913","Una cosa è certa: non ci sono campi rom a meno di 100 km dalla casa della Meli 😔  #TagadaLa7","1","1","HSC"
"524632634476216320","Una consultazione di “regime” per organizzare il plebiscito a sostegno della “buona scuola” di Renzi http://t.co/7u6s05Iz0c #lacattivascuola","0","0","TW-BS"
"507157122829017088","Una buona scuola per un mondo buono. Firmato Mulino Bianco","1","0","TW-BS"
"568035623984095232","Un teorico dell'islam dice che è il sole che gira attorno alla Terra. Starebbe bene come ministro nel nostro governo.","1","0","HSC"
"161062577055608833","Un risultato sicuramente ottenuto dal #governo #Monti e stato quello di aver #insabbiato i costi della politica col battage sull'evasione!","0","0","TW-SENTIPOLC"
"854445190446276609","Un quiz: se una ONG italiana porta in Germania 40 profughi in pullman, li accolgono? Le ONG europee via nave li portano tutti in Italia.","1","1","HSC"
"143416687511867392","un presidente del consiglio che ha deciso di non essere pagato, un ministro che si commuove il governo #monti è un vero miracolo","0","0","TW-SENTIPOLC"
"553113173604454400","Un piatto di pasta e chiediamogli scusa per non essere anche noi musulmani. Magari così diventano nostri amichetti e non ci uccidono più.","1","1","HSC"
"151214228131430402","Un pensiero: Dobbiamo avere fiducia in noi stessi per preparare un'Italia migliore per i nostri figli. (Mario Monti)","0","0","TW-SENTIPOLC"
"578421137715163137","Un pensiero di ringraziamento ogni mattina va sempre ai comunisti che ce li hanno portati fino a casa musulmani rom e delinquenti grazie","1","1","HSC"
"1.4491946649139E+17","Un manifestante #NoTav chiede a Cicchitto cosa farebbe il #PDL se il governo #Monti toccasse le TV di Berlusconi... KABOOM! #PiazzaPulita","1","0","TW-SENTIPOLC"
"134571835303002112","Un governo Monti con Berlusconi dentro! http://t.co/mFHdnauU","0","0","TW-SENTIPOLC"
"162868194959294466","Un governo eletto non avrebbe avuto il coraggio di fare le scelte del governo Monti, dure, impopolari, ma coraggiose.","0","0","TW-SENTIPOLC"
"136492300841910272","Un governo #Monti TECNICO con 5 sottosegretari alla Presidenza: @angealfa @pbersani @Pierferdinando o @gianfranco_fini #Maroni @Idvstaff ?","0","0","TW-SENTIPOLC"
"691944490735669249","Un fucile giocattolo riesce a seminare il panico. Speriamo funzioni anche con gli F-35. [@frandiben]","1","0","TW-SPINO"
"507390126641922048","Un domanda: Ma tutti i film sulle supplenti quindi non potranno più nemmeno più fare? #labuonascuola @alerinov","1","0","TW-BS"
"508622443792310273","Un docente dovrebbe insegnare anche il rispetto per le istituzioni. Può farlo se è tradito dalle istituzioni? #tfaordinario #labuonascuola","0","0","TW-BS"
"160012325682819072","Un augurio di buon onomastico al presidente del consiglio Mario #Monti","0","0","TW-SENTIPOLC"
"521709815887060993","Un altro quesito per gli spacciatori de #labuonascuola: come pensate che la scuola sia in grado di sopportare un altro miliardo di tagli?","1","0","TW-BS"
"146631909219381248","Un altro prodigio del governo Monti: imposta bollo sui conti correnti,34 euro di tassa sui conti correnti. #MANOVRA #monti #tasse","1","1","TW-SENTIPOLC"
"701123861660745728","Umberto Eco era un grande studioso del Medioevo. Che beffa andarsene proprio ora che stava tornando. [@gmbugs]","1","0","TW-SPINO"
"509612393006391296","UIL. Blocco stipendi per prossimi 10 anni, grazie a #labuonascuola http://t.co/9urP83GVnJ","1","0","TW-BS"
"162852940929961984","Uh, per la prima volta dopo secoli Olli Rehn dice qualcosa di positivo sull'Italia. Dobbiamo fare santo Mario Monti...","1","0","TW-SENTIPOLC"
"819876194896187392","Uffa con queste indagini ""monche"" sui terroristi che fanno proselitismo in carcere;  il campo di applicazione del 41 bis anche a loro.","0","0","HSC"
"590428215811960832","UE elabora il piano per i migranti - http://t.co/MYUiVVnLcG parole o anche fatti??? http://t.co/M1S0seDnjy","1","1","HSC"
"462526508507353088","Ucraina, strage alla Casa dei sindacati. Era così brutto il concerto? [@_edelman]","1","0","TW-SPINO"
"144014903232049152","Ucina Confindustria Nautica: Considerazioni sui Provvedimenti Illustrati Ieri dal Governo Monti: http://t.co/sQGQpoCD","0","0","TW-SENTIPOLC"
"670685987731820544","Ucciso il leader degli avvocati curdi. Tanto gli erano rimasti pochi clienti. [arthur rombò]","1","0","TW-SPINO"
"823090273811107841","Uccise immigrato: 4 anni e permesso di lavorare, alla vittima 5 mila euro https://t.co/4ihyg5HXx1 https://t.co/PmIpsTlXdu","0","0","HSC"
"510087689115557888","Uccisa l'orsa colpevole di aver attaccato un cercatore di funghi. E poi pretendiamo che ci restituiscano i marò. [@pirata_21]","1","0","TW-SPINO"
"150964160874815488","Uau mario monti ci fa il regalo dinatale e approda su twitter. Che culo.","1","0","TW-SENTIPOLC"
"136776507828875264","Twitter. Lorenzo Ornaghi ministro del governo Monti? http://t.co/gKWgUGfo","0","0","TW-SENTIPOLC"
"518673171898441728","Tutto il bianco non è farina si dice dalle partidi #renzi. #labuonascuola non fa eccezione http://t.co/cJWdistQsx","0","0","TW-BS"
"516470838422683648","Tutti parlano di merito x #labuonascuola ma gli unici ad avere vinto un concorso pubblico sono i #vincitorisenzacattedra @FusacchiA Rispetto","0","0","TW-BS"
"825979522344423424","Tutti i MMS parlano dei morti islamici in Canada. Ma non parlano dei cristiani che giornalmente vengono uccisi dagli islamici.","0","0","HSC"
"821681241506410497","tutti i migranti a casa di @SabelliFioretti e @myrtamerlino...........mi sembrano molto buoni e accoglienti................prrrrrrrrrrrrrrr","1","1","HSC"
"511478278839099392","Tutti gli iscritti in GaE meritano veramente il ruolo? e chi ha lavorato sul serio per la scuola, ma non è in GaE?  #labuonascuola","0","0","TW-BS"
"192362301687480321","Tutti a dire che #Grillo è il problema. E non vi rendete conto che è il sintomo del disfacimento della nostra democrazia.","0","0","TW-SENTIPOLC"
"193091290840305665","tutti a criticare #Grillo !!! e nessuno il #Movimento5Stelle !!!  This Is Italy !!","0","0","TW-SENTIPOLC"
"519105695967621121","Tutte ste persone che lodano #labuonascuola.... O sono leccapiedi o sono parenti di Renzi o della Giannini. Non c'è alternativa!!","1","0","TW-BS"
"136692248166416385","Tutt'Italia si chiede quanto durerà il #Governo #Monti ?! Ovvio! Tempo di una scalata! #oramonti #sapevatelo","1","0","TW-SENTIPOLC"
"852461152751697921","Turchia: cacciate 4 ong straniere, anche una italiana https://t.co/xVX5sTNbrU","0","0","HSC"
"614876673746538497","Tunisia, nessun italiano tra le vittime. Fortuna che in spiaggia non c'era il wi-fi. [@a_mazed7]","1","0","TW-SPINO"
"814463819242151936","Tu un terrorista lo espelli? Ma in che cazzo di paese viviamo? Diamogli dei mezzi di distruzione di massa poverino.… https://t.co/1PjSfwRo2L","1","1","HSC"
"847165416921354241","Tu immigrato spacciatore e che porti degrado vuoi venire in Italia? Vieni pure, ti aspetto qui sulla costa.  #nuota #dallavostraparte","1","1","HSC"
"193074005832507393","TT Twitter Italia 22:30: 1.#Grillo 2.#serviziopubblico 3.#piazzapulita 4.Prince Of Persia 5.Renzi 6.Franca Rame 7.Partito della Nazione","0","0","TW-SENTIPOLC"
"193058906132590592","TT Twitter Italia 21:30: 1.#primoLibro 2.#Grillo 3.Franca Rame 4.Prince Of Persia 5.Partito della Nazione 6.#cinemaInChiesa","0","0","TW-SENTIPOLC"
"193180781735182336","TT Twitter Italia 05:30: 1.#cinemaInChiesa 2.#serviziopubblico 3.#Grillo 4.Trota 5.Levon Helm 6.Damon and Elena 7.Prince Of Persia 8.Lega","0","0","TW-SENTIPOLC"
"193141953536344065","TT Twitter Italia 03:00: 1.#cinemaInChiesa 2.#serviziopubblico 3.#Grillo 4.Trota 5.Levon Helm 6.Prince Of Persia 7.Lega 8.Franca Rame","0","0","TW-SENTIPOLC"
"193096655241887745","TT Twitter Italia 00:00: 1.#piazzapulita 2.#serviziopubblico 3.#Grillo 4.Franca Rame 5.Prince Of Persia 6.M5S 7.Partito della Nazione","0","0","TW-SENTIPOLC"
"193083706842427392","TT ITALIA 23:08 1.#serviziopubblico 2.#piazzapulita 3.#Grillo 4.Franca Rame 5.Prince Of Persia 6.Belsito 7.M5S 8.Nero Wolfe 9.Falcao","0","0","TW-SENTIPOLC"
"193058537503588352","TT ITALIA 21:28 1.#primoLibro 2.#Grillo 3.Franca Rame 4.Prince Of Persia 5.Partito della Nazione 6.#cinemaInChiesa 7.Welcome to My Life","0","0","TW-SENTIPOLC"
"634448778687303680","Tsipras si dimette, elezioni già a settembre. La solita efficienza tedesca. [@ilmagodifloz]","1","1","TW-SPINO"
"800277682995003393","Trump dice che la statua della libertà è anacronistica e incita all'immigrazione, come dire che la cappella del... https://t.co/DWz2z48pNP","0","0","HSC"
"785397803392655360","Trump attacca su musulmani e terroristi, Hillary: ""Voglio un paese che accolga tutti"" (La Repubblica)… https://t.co/nFOYevioxk","0","0","HSC"
"145653380931530752","Trovato l'ispiratore delle ricette del governo Monti: Bisogna prendere il denaro dove si trova. Presso i poveri.... http://t.co/sh54bMiN","1","1","TW-SENTIPOLC"
"144211269191335937","Troppo berlusconismo nell'esordio del governo Monti. E l'Italia, a furia di subire ""lacrime e sangue"", è governa... http://t.co/9Qfg6RsM","0","0","TW-SENTIPOLC"
"845890925826072576","Tripoli, saltato l’accordo fra Italia e Libia sui migranti https://t.co/sGP53ECMk4","0","0","HSC"
"505261765773766656","Tripadvisor, recensito un hotel chiuso da sette anni. Qualcuno trovi qualcosa da fare a Bersani. [@sisivabbe]","1","0","TW-SPINO"
"799985919663149056","Trieste, profughi cacciano disabile dal bus: arrivano le pattuglie di Forza Nuova sui mezzi pubblici https://t.co/iFVUYS7WzA","0","0","HSC"
"515151682070917120","Trattativa Stato-mafia, Napolitano testimonierà in tribunale. Che poi verrà distrutto. [@MisterDonnie13]","1","0","TW-SPINO"
"615448029282336768","Tranquilli, da noi non vedremo mai scene come quelle dei bancomat greci. Intendo le file ordinate. [@maurofodaroni]","1","0","TW-SPINO"
"821661503606689793","TRAGEDIA IN CARCERE - Si toglie la vita il nomade Carlo Helt ------&gt; https://t.co/xrCVjLptzy","0","0","HSC"
"507105642675732480","traduzione riforma scuola di #Renzi: per essere docenti migliori bisogna lavorare gratis, nessuna novità quindi.","1","1","TW-BS"
"554394037298671616","Tra tutto questo parlare di terrorismo, ho capito una cosa. Voglio farmi un imam.","1","0","HSC"
"508899261027999744","Tra poco riprende la #scuola e noi siamo pronti a discutere di #labuonascuola con i nostri compagni! #iopartecipo http://t.co/ASkGjvaxYM","0","0","TW-BS"
"134630198606970882","Tra le prime misure del #governo #Monti, i tagli ai costi della politica. Serve anche un #Parlamento tecnico per votarli? #fatepresto #308","1","0","TW-SENTIPOLC"
"144035543322329088","Tra le decisioni del governo Monti aumento della benzina di 10cent e del gasolio di 12cent da gennaio. Siete contenti ITALIOTI ?","1","0","TW-SENTIPOLC"
"590224943952089088","Tra il dire e il fare ci sta di mezzo un sacco di guadagno#stragemigranti #StatoCorrotto #MafiaCapitale","1","1","HSC"
"508730097567014912","Tra i motivi dell'inefficienza della scuola italiana, le classi pollaio, ma va?! http://t.co/uPLyp7Phhy #labuonascuola #scuolapubblica #m5s","1","1","TW-BS"
"507074506880712705","Tra 5 minuti presentazione piano scuola del governo #Renzi. #passodopopasso #labuonascuola Stay tuned","0","0","TW-BS"
"134711722924711938","Totoministri per il governo Monti: Gelmini ai lavori pubblici, farà il tunnel dei neutrini!","1","1","TW-SENTIPOLC"
"505759622805065728","Totò Riina: “Berlusconi dava alla mafia 250 milioni ogni sei mesi“. E pensa se avessero divorziato! [valerio]","1","0","TW-SPINO"
"847348525348212737","Toscana, regalati 30mila euro ai rom per fare la spesa in una Coop https://t.co/lOsLdxaCnq","0","0","HSC"
"162215178929324032","TORMENTONE SPREAD, MARIO MONTI VS SILVIO BERLUSCONI: +86 http://t.co/NfX5S0xf #viamonti","0","0","TW-SENTIPOLC"
"811244348268564480","Tor Sapienza, commissione sulle periferie nel campo rom Salviati. Boccuzzi: “L’immondizia sarà #news #Roma https://t.co/WA6cKuVp13","0","0","HSC"
"529961479940755457","Topi nelle scuole di Roma http://t.co/UeFqAWruCz sono buoni pure quelli? #labuonascuola #ibuonitopi","1","1","TW-BS"
"144373653549744128","Toh, il governo #Monti piace più della scorsa settimana. Che è successo? La Bilderberg ha truccato i sondaggi? http://t.co/oVihZWwP","1","1","TW-SENTIPOLC"
"856851306744512512","Toh, che caso: clandestino, islamico radicale e terrorista. Costa stava per fare https://t.co/yeqtzKOaV5","1","1","HSC"
"520449570934120448","Today thousands of school students will be protesting in Italy against the reform called ""buona scuola"" initiated by #Renzi government","0","0","TW-BS"
"520594162090278912","Titola bene il @ilquotidianoweb. Oggi ci siamo mobilitati per difendere la scuola pubblica italiana. #10ottobre #labuonascuola @matteorenzi","0","0","TW-BS"
"134937998767816705","Ti promettiamo mari e Monti: ""NON mi fido della coalizione che c'è dietro il governo Monti... http://t.co/sLfCZ4QJ","0","0","TW-SENTIPOLC"
"533596034954715136","Thohir esonera Mazzarri e chiama Mancini. “Conosci mica un buon allenatore?“ [@mordicchio90]","1","0","TW-SPINO"
"140082034851848192","Tg3 L'incontro fra Sarkozy, Angela Merkel e Mario Monti ha lasciato sul tappeto praticamente tutti i problemi... http://t.co/eFsvbm4k","0","0","TW-SENTIPOLC"
"508941302604382209","TFA contro #lascuolaingiusta (altro che #labuonascuola della propaganda pro #Renzi...) http://t.co/c2Cs8SDDS5","0","0","TW-BS"
"557566017858457600","Terrorismo, studente universitario espulso dall'Italia. Ma sarebbe bastato aspettare che si laureasse. [@pirata_21]","1","0","TW-SPINO"
"162100480359661568","Terremoti, naufragi, Mario Monti: vuoi vede' che i Maya c'avevano preso?","1","1","TW-SENTIPOLC"
"791335220511399936","TERESA MANNINO elenca gli stereotipi più diffusi sui migranti in Italia. https://t.co/VuebS7whx3","0","0","HSC"
"137971839652724737","Tecniche di colpo di Stato. Beppe Grillo sul Governo #Monti. Mi pare uno zinzinino esagerato http://t.co/dQDuyhuk","0","0","TW-SENTIPOLC"
"791933330245623809","Tanto per chiarire cari romani complottisti e incivili, era colpa di #AMA. I #rom ringraziano  (Grazie #Raggi per la fiducia nei cittadini) https://t.co/8cZjh8dnq2","1","1","HSC"
"822076915204898816","Tanto a #Roma ci pensano i #rom a svuotare i cassonetti, giusto #Virginia?... https://t.co/2IRZoUdXjs","1","1","HSC"
"153260540058275840","tanti auguri... e tanti soldi prosperate... nei soldi tante rikezze alla faccia del governo monti! Samuele... http://t.co/rKODuVtV","0","0","TW-SENTIPOLC"
